business_unit_id,period_start,revenue,operating_margin_pct,productivity_index,quality_incidents,avg_vacancy_days,headcount_proxy
BU001,2020-01-01,2310375.72,0.166,0.941,4,48.6,32
BU001,2020-02-01,1877555.93,0.083,1.097,2,45.0,40
BU001,2020-03-01,2420343.34,0.201,0.927,3,31.5,46
BU001,2020-04-01,2350836.57,0.184,1.034,5,41.1,49
BU001,2020-05-01,1615693.18,0.255,1.011,6,43.4,41
BU001,2020-06-01,2195829.59,0.221,0.986,1,36.6,35
BU001,2020-07-01,2694897.51,0.192,1.03,7,44.1,43
BU001,2020-08-01,2805483.53,0.156,0.819,1,52.6,43
BU001,2020-09-01,1564274.86,0.306,1.002,1,30.4,69
BU001,2020-10-01,1747297.59,0.261,1.095,4,41.1,42
BU001,2020-11-01,1266242.34,0.236,0.938,5,48.4,38
BU001,2020-12-01,1870589.54,0.196,1.022,2,41.8,33
BU001,2021-01-01,2032164.06,0.225,1.079,2,11.3,47
BU001,2021-02-01,2398835.67,0.27,0.987,0,31.7,32
BU001,2021-03-01,1967002.85,0.237,1.041,1,56.9,41
BU001,2021-04-01,1862764.75,0.182,0.992,2,29.1,48
BU001,2021-05-01,2259444.52,0.041,0.849,6,50.6,35
BU001,2021-06-01,2202344.26,0.202,0.922,3,45.6,37
BU001,2021-07-01,1741825.48,0.176,0.904,1,50.5,40
BU001,2021-08-01,2572884.11,0.18,1.016,5,44.5,60
BU001,2021-09-01,1708017.87,0.193,0.919,5,41.5,53
BU001,2021-10-01,1622749.67,0.173,1.1,2,48.5,44
BU001,2021-11-01,1274522.95,0.211,1.028,2,27.3,49
BU001,2021-12-01,2003918.8,0.115,0.982,3,50.5,26
BU001,2022-01-01,1620754.47,0.097,1.11,5,40.6,45
BU001,2022-02-01,2161513.25,0.136,0.944,2,39.2,73
BU001,2022-03-01,1638707.32,0.235,1.104,4,39.7,43
BU001,2022-04-01,2417532.97,0.19,1.129,2,54.3,39
BU001,2022-05-01,2336354.15,0.144,0.95,1,51.2,53
BU001,2022-06-01,2817450.48,0.272,0.928,3,35.5,49
BU001,2022-07-01,1723888.94,0.242,1.016,4,28.4,59
BU001,2022-08-01,2310498.05,0.104,0.852,2,59.6,51
