employee_id,effective_date,base_pay,bonus_target,compa_ratio,merit_pct,promo_flag
E00001,2025-02-01,61230.76,7347.69,0.98,0.04,0
E00001,2025-03-01,62145.2,9321.78,1.061,0.02,0
E00001,2025-04-01,62924.47,7550.94,1.106,0.02,0
E00001,2025-06-01,65111.28,3255.56,1.028,0.03,0
E00001,2025-07-01,68190.78,6819.08,0.995,0.05,0
E00001,2025-12-01,70477.49,8457.3,1.182,0.02,0
E00002,2022-10-01,135925.59,16311.07,1.208,0.0,1
E00002,2024-05-01,137057.61,10964.61,0.846,0.02,0
E00002,2024-07-01,155498.3,12439.86,0.99,0.04,1
E00002,2024-11-01,160142.08,19217.05,1.012,0.03,0
E00002,2024-12-01,167318.78,8365.94,0.843,0.04,0
E00002,2025-04-01,171648.04,17164.8,1.159,0.04,0
E00003,2023-08-01,110371.41,13244.57,1.013,0.04,0
E00003,2023-10-01,116614.62,5830.73,0.876,0.05,0
E00003,2024-03-01,120184.56,6009.23,0.971,0.05,0
E00003,2024-04-01,125004.16,15000.5,0.841,0.04,0
E00004,2024-10-01,118935.25,14272.23,0.924,0.04,1
E00004,2025-05-01,122396.79,14687.61,0.936,0.03,0
E00004,2025-09-01,126893.63,19034.04,1.013,0.04,0
E00004,2025-11-01,131703.53,19755.53,1.055,0.03,0
E00005,2024-01-01,57598.36,8639.75,1.212,0.03,0
E00005,2024-09-01,59995.31,5999.53,0.875,0.04,0
E00005,2025-01-01,62692.42,7523.09,1.178,0.04,0
E00005,2025-02-01,70189.65,8422.76,1.259,0.02,1
E00006,2024-11-01,62659.99,6266.0,1.04,0.04,0
E00006,2024-12-01,66709.75,3335.49,1.197,0.06,0
E00006,2025-03-01,67042.02,3352.1,0.902,0.02,0
E00006,2025-07-01,69500.9,3475.04,0.984,0.04,0
E00006,2025-08-01,71691.4,7169.14,0.83,0.03,0
E00007,2019-11-01,63013.89,7561.67,0.918,0.03,0
E00007,2020-01-01,64881.54,9732.23,0.969,0.03,0
E00007,2020-07-01,68318.24,6831.82,0.868,0.04,0
E00007,2020-10-01,69610.94,3480.55,0.938,0.03,0
E00007,2021-01-01,72030.63,3601.53,0.953,0.03,0
E00007,2021-06-01,78775.93,3938.8,0.981,0.0,1
E00008,2021-11-01,94293.4,14144.01,1.142,0.0,0
E00008,2025-02-01,96884.99,9688.5,1.012,0.04,0
E00008,2025-11-01,98349.2,4917.46,1.156,0.02,0
E00009,2021-03-01,162115.82,8105.79,1.116,0.03,0
E00009,2021-12-01,166344.25,13307.54,0.923,0.02,0
E00009,2023-12-01,186950.84,14956.07,0.916,0.03,1
E00009,2024-01-01,196981.8,19698.18,0.818,0.06,0
E00010,2024-09-01,83800.67,8380.07,1.148,0.04,0
E00010,2024-10-01,86281.12,12942.17,1.161,0.03,0
E00010,2025-01-01,87623.12,8762.31,0.916,0.02,0
E00010,2025-08-01,91054.79,13658.22,0.996,0.05,0
E00011,2025-03-01,64413.63,5153.09,1.058,0.03,0
E00011,2025-04-01,65362.37,5228.99,0.864,0.02,0
E00011,2025-08-01,67985.6,3399.28,1.079,0.03,0
E00011,2025-12-01,69748.87,6974.89,1.075,0.02,0
E00012,2019-09-01,45269.76,2263.49,0.853,0.05,0
E00012,2021-01-01,47213.33,2360.67,0.832,0.03,0
E00012,2022-09-01,48161.44,4816.14,0.871,0.02,0
E00012,2024-11-01,50866.43,5086.64,1.096,0.05,0
E00013,2022-01-01,48666.4,4866.64,1.186,0.05,0
E00013,2022-07-01,48213.61,4821.36,0.902,0.0,0
E00013,2024-11-01,49793.57,3983.49,1.023,0.03,0
E00013,2025-11-01,51264.68,4101.17,1.169,0.03,0
E00013,2025-12-01,53502.39,2675.12,1.026,0.04,0
E00014,2024-04-01,97003.94,7760.32,1.106,0.02,0
E00014,2024-06-01,98110.27,7848.82,0.951,0.03,0
E00014,2024-07-01,100311.75,5015.59,0.953,0.03,0
E00014,2024-09-01,102801.2,15420.18,1.019,0.03,0
E00014,2025-01-01,112737.76,11273.78,0.927,0.0,1
E00014,2025-05-01,117056.58,9364.53,0.95,0.04,0
E00015,2019-10-01,82643.03,6611.44,1.057,0.03,0
E00015,2020-05-01,86953.91,8695.39,0.92,0.04,0
E00015,2021-06-01,87715.05,4385.75,0.849,0.02,0
E00015,2021-11-01,91864.95,9186.5,1.051,0.06,0
E00015,2022-03-01,92238.14,4611.91,0.959,0.02,0
E00015,2025-06-01,93626.12,9362.61,0.899,0.03,0
E00015,2025-11-01,96019.57,11522.35,0.876,0.03,0
E00016,2024-04-01,70730.74,8487.69,0.893,0.04,0
E00016,2024-05-01,72581.91,8709.83,0.987,0.02,0
E00016,2024-06-01,81380.29,8138.03,0.994,0.02,1
E00016,2024-10-01,84710.7,10165.28,1.181,0.03,0
E00016,2025-03-01,86864.54,13029.68,1.015,0.03,0
E00016,2025-06-01,90739.35,13610.9,0.918,0.03,0
E00017,2020-06-01,52642.85,4211.43,1.045,0.04,0
E00017,2022-01-01,53515.04,8027.26,0.965,0.02,0
E00017,2022-11-01,54647.03,6557.64,0.887,0.02,0
E00017,2023-05-01,55248.82,6629.86,1.069,0.02,0
E00017,2023-07-01,53832.99,5383.3,1.167,0.0,0
E00018,2022-01-01,126778.99,10142.32,0.942,0.0,0
E00018,2022-06-01,126802.41,6340.12,1.1,0.0,0
E00018,2023-05-01,132946.08,10635.69,0.93,0.06,0
E00018,2023-09-01,134271.88,13427.19,0.873,0.02,0
E00018,2024-02-01,133761.86,10700.95,1.105,0.0,0
E00018,2025-10-01,135068.7,20260.31,1.022,0.02,0
E00019,2024-07-01,83481.28,6678.5,1.021,0.03,0
E00019,2024-09-01,86776.32,8677.63,0.913,0.04,0
E00019,2025-07-01,91090.24,10930.83,0.776,0.05,0
E00020,2021-09-01,110702.72,11070.27,1.103,0.02,0
E00020,2022-07-01,117395.91,5869.8,1.153,0.05,0
E00020,2023-01-01,134915.19,6745.76,1.025,0.04,1
E00021,2022-02-01,65890.77,6589.08,1.086,0.03,0
E00021,2023-02-01,69761.01,5580.88,1.163,0.05,0
