employee_id,period_start,attrition_in_3m,termination_date,risk_score_at_period,had_intervention_this_period
E00001,2024-01-01,0,,0.796609,0
E00002,2024-01-01,0,,0.501735,0
E00003,2024-01-01,0,,0.783534,1
E00004,2024-01-01,0,,0.631333,0
E00005,2024-01-01,0,,0.744454,1
E00006,2024-01-01,0,,0.767424,0
E00007,2024-01-01,0,,0.599936,0
E00008,2024-01-01,0,,0.678264,0
E00009,2024-01-01,0,,0.829834,1
E00010,2024-01-01,0,,0.611077,0
E00011,2024-01-01,0,,0.649724,0
E00012,2024-01-01,0,,0.854266,0
E00013,2024-01-01,0,,0.733331,0
E00014,2024-01-01,0,,0.596126,0
E00015,2024-01-01,0,,0.837013,0
E00016,2024-01-01,0,,0.816345,0
E00017,2024-01-01,0,,0.742826,0
E00018,2024-01-01,0,,0.730929,0
E00019,2024-01-01,0,,0.590796,0
E00020,2024-01-01,0,,0.563342,0
E00021,2024-01-01,1,2024-03-29,0.707481,0
E00022,2024-01-01,0,,0.607694,0
E00023,2024-01-01,0,,0.72633,0
E00024,2024-01-01,0,,0.757917,0
E00025,2024-01-01,0,,0.669873,0
E00026,2024-01-01,0,,0.811232,0
E00027,2024-01-01,0,,0.636779,0
E00028,2024-01-01,0,,0.720179,0
E00029,2024-01-01,0,,0.71599,0
E00030,2024-01-01,0,,0.691478,0
E00031,2024-01-01,0,,0.605849,0
E00032,2024-01-01,0,,0.708931,0
E00033,2024-01-01,0,,0.709294,0
E00034,2024-01-01,0,,0.648254,0
E00035,2024-01-01,0,,0.774312,0
E00036,2024-01-01,1,2024-01-31,0.714123,0
E00037,2024-01-01,0,,0.517744,0
E00038,2024-01-01,0,,0.756924,0
E00039,2024-01-01,0,,0.780973,0
E00040,2024-01-01,0,,0.761875,0
E00041,2024-01-01,0,,0.599663,0
E00042,2024-01-01,0,,0.738729,0
E00043,2024-01-01,0,,0.790036,0
E00044,2024-01-01,0,,0.815799,1
E00045,2024-01-01,0,,0.706282,0
E00046,2024-01-01,0,,0.721625,0
E00047,2024-01-01,0,,0.787234,0
E00048,2024-01-01,0,,0.729388,0
E00049,2024-01-01,0,,0.703226,0
E00050,2024-01-01,0,,0.79916,1
E00051,2024-01-01,0,,0.756152,0
E00052,2024-01-01,0,,0.738003,0
E00053,2024-01-01,0,,0.799564,0
E00054,2024-01-01,0,,0.630461,0
E00055,2024-01-01,0,,0.717461,0
E00056,2024-01-01,0,,0.611009,0
E00057,2024-01-01,0,,0.721983,0
E00058,2024-01-01,0,,0.794587,0
E00059,2024-01-01,0,,0.600081,0
E00060,2024-01-01,0,,0.765988,0
E00061,2024-01-01,0,,0.594744,0
E00062,2024-01-01,0,,0.67315,0
E00063,2024-01-01,0,,0.713408,0
E00064,2024-01-01,0,,0.722321,0
E00065,2024-01-01,0,,0.737921,0
E00066,2024-01-01,1,2024-02-17,0.789355,1
E00067,2024-01-01,0,,0.814693,1
E00068,2024-01-01,0,,0.82667,0
E00069,2024-01-01,0,,0.775854,0
E00070,2024-01-01,0,,0.692,0
E00071,2024-01-01,0,,0.516273,0
E00072,2024-01-01,0,,0.612281,0
E00073,2024-01-01,0,,0.799703,0
E00074,2024-01-01,0,,0.881161,0
E00075,2024-01-01,0,,0.678146,0
E00076,2024-01-01,0,,0.817812,0
E00077,2024-01-01,1,2024-01-27,0.841454,0
E00078,2024-01-01,0,,0.828757,1
E00079,2024-01-01,0,,0.776663,1
E00080,2024-01-01,0,,0.590744,0
E00081,2024-01-01,1,2024-03-28,0.680606,0
E00082,2024-01-01,0,,0.712022,0
E00083,2024-01-01,0,,0.820554,0
E00084,2024-01-01,0,,0.650951,0
E00085,2024-01-01,0,,0.740287,0
E00086,2024-01-01,0,,0.694752,0
E00087,2024-01-01,0,,0.816615,0
E00088,2024-01-01,0,,0.822348,1
E00089,2024-01-01,0,,0.671906,0
E00090,2024-01-01,0,,0.711448,0
E00091,2024-01-01,0,,0.759872,0
E00092,2024-01-01,0,,0.484104,0
E00093,2024-01-01,0,,0.817764,0
E00094,2024-01-01,0,,0.532887,0
E00095,2024-01-01,0,,0.710174,0
E00096,2024-01-01,0,,0.749509,0
E00097,2024-01-01,0,,0.818811,0
E00098,2024-01-01,0,,0.770487,0
E00099,2024-01-01,0,,0.620981,0
E00100,2024-01-01,0,,0.761036,0
E00101,2024-01-01,0,,0.681318,0
E00102,2024-01-01,0,,0.776801,1
E00103,2024-01-01,1,2024-01-15,0.518654,0
E00104,2024-01-01,0,,0.80012,0
E00105,2024-01-01,0,,0.817469,0
E00106,2024-01-01,0,,0.649167,0
E00107,2024-01-01,0,,0.653328,0
E00108,2024-01-01,0,,0.746852,0
E00109,2024-01-01,0,,0.785462,0
E00110,2024-01-01,0,,0.649165,0
E00111,2024-01-01,0,,0.699534,0
E00112,2024-01-01,0,,0.674382,0
E00113,2024-01-01,0,,0.741246,0
E00114,2024-01-01,0,,0.569922,0
E00115,2024-01-01,1,2024-03-28,0.664878,0
E00116,2024-01-01,0,,0.612124,0
E00117,2024-01-01,0,,0.692397,0
E00118,2024-01-01,0,,0.699823,0
E00119,2024-01-01,0,,0.745622,0
E00120,2024-01-01,0,,0.678085,0
E00121,2024-01-01,0,,0.844625,0
E00122,2024-01-01,0,,0.575969,0
E00123,2024-01-01,0,,0.614982,0
E00124,2024-01-01,0,,0.697253,0
E00125,2024-01-01,0,,0.716524,0
E00126,2024-01-01,0,,0.512184,0
E00127,2024-01-01,0,,0.692778,0
E00128,2024-01-01,0,,0.759121,1
E00129,2024-01-01,0,,0.713081,0
E00130,2024-01-01,0,,0.761733,0
E00131,2024-01-01,0,,0.685055,0
E00132,2024-01-01,0,,0.686429,0
E00133,2024-01-01,0,,0.871801,1
E00134,2024-01-01,0,,0.748534,0
E00135,2024-01-01,0,,0.749014,0
E00136,2024-01-01,0,,0.576072,0
E00137,2024-01-01,0,,0.759537,0
E00138,2024-01-01,0,,0.653461,0
E00139,2024-01-01,0,,0.7746,0
E00140,2024-01-01,0,,0.684248,0
E00141,2024-01-01,0,,0.793915,0
E00142,2024-01-01,0,,0.718162,0
E00143,2024-01-01,0,,0.847166,0
E00144,2024-01-01,0,,0.658643,0
E00145,2024-01-01,0,,0.548569,0
E00146,2024-01-01,0,,0.826036,1
E00147,2024-01-01,0,,0.763634,0
E00148,2024-01-01,1,2024-02-24,0.744454,0
E00149,2024-01-01,0,,0.800411,1
E00150,2024-01-01,0,,0.795515,0
E00151,2024-01-01,1,2024-03-13,0.618678,0
E00152,2024-01-01,0,,0.847394,1
E00153,2024-01-01,1,2024-02-10,0.823832,1
E00154,2024-01-01,0,,0.675216,0
E00155,2024-01-01,0,,0.738678,0
E00156,2024-01-01,0,,0.737422,0
E00157,2024-01-01,0,,0.73253,0
E00158,2024-01-01,0,,0.596474,0
E00159,2024-01-01,0,,0.747688,0
