employee_id,period_start,business_unit_id,job_family,job_level,tenure_years,engagement_score,performance_rating,compa_ratio,workload_index,manager_change_flag,attrition_risk_score,attrition_in_3m,termination_date,had_intervention_this_period,base_salary,replacement_cost_estimate,intervention_type,intervention_cost,expected_mechanism
E00001,2024-01-01,BU03,IT,IC1,3.915,0.517,2.97,0.855,0.705,0,,0.2,,0.0,72817,114696.89,,,
E00002,2024-01-01,BU05,IT,IC1,6.825,0.642,3.59,1.6,0.737,0,,0.2,,0.0,131730,62625.8,,,
E00003,2024-01-01,BU01,IT,IC1,0.0,0.55,3.27,0.686,0.593,0,,0.0,,1.0,50177,140172.42,retention_bonus,3500.0,short_term_retention
E00004,2024-01-01,BU01,IT,IC1,2.459,0.618,3.26,1.2,0.79,0,,0.2,,0.0,79085,152692.23,,,
E00005,2024-01-01,BU10,IT,IC1,5.73,0.558,3.6,0.6,0.631,0,,0.0,,1.0,33891,41562.75,workload_rebalance,500.0,reduce_burnout_risk
E00006,2024-01-01,BU09,IT,IC1,3.222,0.63,3.23,0.6,0.733,0,,0.2,,0.0,50335,55655.97,,,
E00007,2024-01-01,BU07,IT,IC1,0.632,0.599,3.94,1.119,0.766,0,,0.2,,0.0,67757,105921.51,,,
E00008,2024-01-01,BU01,IT,IC1,7.852,0.612,2.71,1.458,0.507,0,,0.2,,0.0,97500,86735.31,,,
E00009,2024-01-01,BU08,IT,IC1,3.151,0.519,2.85,0.6,0.597,0,,0.0,,1.0,38985,99246.8,comp_adjustment,5000.0,reduce_comp_gap
E00010,2024-01-01,BU03,IT,IC1,0.0,0.489,3.87,0.729,0.459,0,,0.2,,0.0,78837,68122.01,,,
E00011,2024-01-01,BU08,IT,IC1,0.0,0.534,4.31,0.644,0.575,0,,0.2,,0.0,58564,148546.68,,,
E00012,2024-01-01,BU05,IT,IC1,2.289,0.516,2.61,0.6,0.689,0,,0.2,,0.0,35153,141907.66,,,
E00013,2024-01-01,BU01,IT,IC1,5.659,0.558,2.93,0.982,0.573,0,,0.2,,0.0,63803,103015.97,,,
E00014,2024-01-01,BU07,IT,IC1,6.259,0.651,3.23,1.129,0.6,0,,0.2,,0.0,108902,166073.21,,,
E00015,2024-01-01,BU05,IT,IC1,2.721,0.51,2.64,0.6,0.623,0,,0.2,,0.0,40451,123414.6,,,
E00016,2024-01-01,BU06,IT,IC1,2.204,0.484,3.3,0.6,0.681,0,,0.2,,0.0,57614,67930.73,,,
E00017,2024-01-01,BU06,IT,IC1,7.633,0.567,3.7,0.6,0.821,0,,0.2,,0.0,42390,118049.97,,,
E00018,2024-01-01,BU08,IT,IC1,4.279,0.506,3.48,0.785,0.622,0,,0.2,,0.0,50817,64953.59,,,
E00019,2024-01-01,BU09,IT,IC1,5.355,0.586,3.0,1.535,0.527,0,,0.2,,0.0,98840,148483.35,,,
E00020,2024-01-01,BU02,IT,IC1,8.81,0.547,3.65,0.911,0.42,0,,0.2,,0.0,54446,97778.38,,,
E00021,2024-01-01,BU09,IT,IC1,2.976,0.493,3.52,1.225,0.788,0,,0.2,2024-03-29,0.0,97787,92017.81,,,
E00022,2024-01-01,BU10,IT,IC1,4.835,0.423,3.77,1.075,0.507,0,,0.2,,0.0,88271,73607.87,,,
E00023,2024-01-01,BU09,IT,IC1,8.723,0.625,3.38,0.6,0.649,0,,0.2,,0.0,52735,173350.19,,,
E00024,2024-01-01,BU10,IT,IC1,5.908,0.631,3.59,0.643,0.719,0,,0.2,,0.0,50216,93282.44,,,
